epsilon,Average Cost,Cost variance,Average Time
0,21.0389744939,0,0.0096736765
0.1,21.3658185928,0.691258013,0.0093084192
0.2,22.2781197927,3.2147237094,0.0094164801
0.3,23.6810505258,4.5382555402,0.0093415785
0.4,27.028880054,19.5126303749,0.0096599817
0.5,28.8493352768,25.1088200235,0.0093065214
0.6,32.3390216401,40.8894412138,0.0093416023
0.7,40.4489950865,89.8869579597,0.0093501806
0.8,42.0387773825,76.6709214673,0.0093287802
0.9,48.4170622605,139.8055520548,0.0093392801
1,55.5129762729,241.9370739661,0.0093071413
1.1,62.9696414077,221.2595899116,0.009258461
1.2,70.9057498223,392.5663553092,0.0092862988
