epsilon,Average Cost,Cost variance,Average Time
0,697.5806670758,1.29246970711411E-26,0.0017172432
0.05,697.852022829,9.627990596,0.001698041
0.1,698.0744488487,33.1038794164,0.0017454815
0.15,699.7456024656,66.9361602723,0.0017482376
0.2,702.5878641899,171.0460238096,0.0018152809
0.25,701.7792161511,230.9273997464,0.001801343
0.3,704.4842269649,363.6681783878,0.0017728376
0.35,707.8264160461,510.0838213502,0.0016854763
0.4,707.5342905413,624.8107101336,0.0016461802
0.45,714.7536152381,1187.265769543,0.0012428999
0.5,714.5589226561,1111.7649718639,0.0012293386
0.55,714.0637660472,1060.4419702115,0.0012480974
0.6,722.3943218793,1078.4090103709,0.0012547207
0.65,734.2043442985,2161.7601248704,0.0011948395
0.7,729.7683309665,1902.8320367427,0.0011942816
0.75,738.4579628177,2567.1361177492,0.0011733437
0.8,746.5103285853,3468.2715293432,0.0011841583
0.85,746.0171880815,3354.5959860389,0.001200161
0.9,757.751256432,3789.8351369625,0.0012483978
0.95,758.9905558672,3919.7766347759,0.0012943363
1,769.3342641561,3964.9185231743,0.001261301
1.1,789.0797417562,8593.9887561984,0.0011614799
1.2,792.9869139935,9190.676851794,0.0010727596
1.3,805.2242370485,9669.9738888033,0.0009935999
1.4,829.7317499036,7390.6995836829,0.0009911442
1.5,875.0113488227,19304.824998474,0.0009925222
1.6,871.974817426,15122.1182445435,0.0009932995
1.7,911.5047398,18966.4793337713,0.0010234213
1.8,935.3155513991,31780.6226691188,0.0010278225
1.9,953.1714490395,31657.4810214101,0.0009933233
2,980.0461901704,29748.7930037229,0.0009935427
