epsilon,Average Cost,Cost variance,Average Time
0,694.0407184223,1.29246970711411E-26,8.5816442776
0.05,694.0785103967,8.0648819483,5.0414680004
0.1,696.9094688172,36.5819178016,8.6931010199
0.15,699.4707546926,74.5031356669,5.0104225969
0.2,699.6580363209,131.8704407414,5.6429695034
0.25,702.1894500299,186.5856440111,9.5507128191
0.3,711.0383797967,181.5149262573,5.7632140636
0.35,709.1605994963,445.7119126014,5.5355117798
0.4,718.6824603464,701.9158284377,5.4965973997
0.45,719.0995224487,1239.8972490233,5.5823730993
0.5,716.6760067418,928.2114231161,9.5598731422
0.55,727.0647156494,1641.3218311526,5.6956365204
0.6,734.4508084452,1349.8088633224,5.4515742827
0.65,730.2388376215,1746.5307875803,5.3934968185
0.7,738.1911950754,1760.0842844362,4.949234519
0.75,759.5895405081,1413.6043787336,5.0815299606
0.8,755.8334642718,2515.9493673809,5.0872860241
0.85,770.5408633444,3426.103778086,4.9159866381
0.9,769.8162754942,3443.5283304097,5.005501442
0.95,776.773149322,2167.8361037951,4.9664976788
1,770.8701439064,4214.6152309976,4.5429894018
1.1,809.9843272799,9722.4532986745,6.8556938219
1.2,809.2897257444,6503.6039491194,6.2869334173
1.3,834.9904520195,10133.1299503219,5.5149521208
1.4,861.7936723645,10716.3123973996,5.6013011837
1.5,869.6912304679,14427.1416772218,5.1646585798
1.6,897.6679532027,13335.1461414692,5.1046554375
1.7,949.6735705874,11863.7678557844,5.0902739811
1.8,971.8151332757,19967.1965535104,4.9486938191
1.9,1016.4588095732,28994.1012386569,4.98012496
2,1036.4994254239,33783.8483458304,5.0550473595
