epsilon,Average Cost,Cost variance,Average Time
0,3.4697781292,0,
0.02,3.4977615527,0.006853161,
0.04,3.4978965984,0.0271218637,
0.06,3.4792446495,0.045117723,
0.08,3.5267218484,0.1151014344,
0.1,3.5557867647,0.1872383051,
0.12,3.6337346096,0.2648427934,
0.14,3.657092366,0.489900993,
0.16,3.5557861098,0.3688227344,
0.18,3.7319538878,0.5302934749,
0.2,3.8187382287,0.7288702061,
0.22,3.8187246095,0.706002997,
0.24,3.6530248468,0.9425469623,
0.26,3.769703629,1.1660779753,
0.28,3.9602390344,1.0605571386,
0.3,3.9640626724,1.295434888,
0.32,3.9226811342,1.3150269663,
0.34,4.0476334362,2.0386872427,
0.36,4.5712969184,2.2592287757,
0.38,4.2604049114,2.079891178,
0.4,5.0165874664,4.4766926753,
0.42,4.7486627024,3.9633362294,
0.44,4.7790965393,3.0782080973,
0.46,4.9091609654,3.1477538099,
0.48,4.8905602118,2.8309119022,
0.5,4.8212717655,4.1698332088,
0.52,5.1646849803,4.6467825859,
0.54,5.2412384209,3.1902949178,
0.56,5.6940938972,6.7640707845,
0.58,5.6285059585,9.4777865772,
0.6,5.4801064314,7.0878718247,
0.62,6.215420272,8.1496447735,
0.64,6.758764425,8.6757018099,
0.66,6.0511202041,10.3927162425,
0.68,6.9661817921,8.4054146198,
0.7,7.7806066983,67.4543470591,
0.72,7.1285288032,16.1480089449,
0.74,6.7382763949,15.5365433415,
0.76,6.6218713099,13.977494414,
0.78,8.0303596595,25.1194246627,
0.8,7.1106553629,14.814796245,
0.82,8.3568645697,14.4653164859,
0.84,7.557183979,20.0783580663,
0.86,8.8602239688,49.6505789851,
0.88,8.1502527731,17.8815342814,
0.9,9.8245026192,221.0188225403,
0.92,14.5571895211,262.2091130256,
0.94,9.7675005936,42.1978315321,
0.96,9.8370980313,38.5946484332,
0.98,11.6030629331,127.165916959,
1,11.0145418975,68.1018769526,
1.1,12.0456699008,89.1173140245,
1.2,22.8685214697,650.8046486576,
1.3,19.1260068255,372.565262735,
1.4,25.663399775,1778.6130700922,
1.5,23.9991534071,548.6100465068,
1.6,30.4163989827,1567.0393467374,
1.7,42.5332900764,5068.5029619907,
1.8,39.9740474388,4061.9871429068,
1.9,55.4370865164,3457.4043640451,
2,38.7677945725,1823.5479221757,
2.1,45.4624235796,2309.494539323,
2.2,42.0625552162,1333.9967405961,
2.3,57.2148384102,4462.0754338981,
2.4,78.673979229,9194.9785886155,
2.5,52.2102293047,2238.3347264112,
2.6,83.5873778035,9479.6846012938,
2.7,71.2797899208,6360.2433548062,
2.8,106.7162130452,12930.5836837359,
2.9,81.3253847771,7015.2529723431,
3,83.8561037466,6609.2889643242,
epsilon,Average Cost,Cost variance,Average Time
epsilon,Average Cost,Cost variance,Average Time
0,10.3770528884,0,
0.1,10.7761094535,1.0817710133,
0.2,10.892158654,7.1558653369,
0.3,11.5366882727,13.4358221196,
0.4,11.8498661674,15.4095974469,
0.5,12.7187176493,21.5812851224,
0.6,15.6692187212,52.1738458033,
0.7,19.0727570557,110.2217999812,
0.8,21.5059259563,186.5486553245,
0.9,23.1675640193,122.7006787479,
1,30.4398565086,859.5975708283,
